id результата;Команда;Баллы;Сдал(-а);Посещение до Контрольная работа 1;Баллы до Контрольная работа 1;Контрольная работа 1;Посещение до Контрольная работа 2;Баллы до Контрольная работа 2;Контрольная работа 2;Посещение до Контрольная работа 3;Баллы до Контрольная работа 3;Контрольная работа 3
2823;09.03.02 Информационные системы и технологии;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2824;09.03.03 Прикладная информатика;100.0;1;1.0;0.0;16.88;1.0;0.0;19.29;1.0;0.0;20.0
2825;38.03.01 Экономика;76.16;1;0.91;0.0;7.33;0.8;0.0;12.67;0.75;0.0;12.66
2826;04.03.01 Химия;61.0;1;0.82;0.0;6.83;0.8;0.0;12.33;0.75;0.0;6.0
2827;03.03.02 Физика;61.0;1;0.73;0.0;13.0;0.2;0.0;17.0;0.25;0.0;0.0
2828;01.03.01 Математика;0.0;0;0.36;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2829;09.03.02 Информационные системы и технологии;61.69;1;1.0;0.0;2.95;0.8;0.0;14.58;0.75;0.0;14.66
2830;09.03.02 Информационные системы и технологии;0.0;0;0.18;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2831;38.03.01 Экономика;54.83;0;0.91;0.0;7.5;1.0;0.0;13.0;0.75;0.0;9.49
2832;10.05.03 Информационная безопасность автоматизированных систем;85.36;1;0.82;0.0;13.53;0.6;0.0;13.33;0.62;0.0;20.0
2833;38.03.01 Экономика;27.77;0;0.91;0.0;1.0;1.0;0.0;10.67;0.75;0.0;9.0
2834;09.03.02 Информационные системы и технологии;61.45;1;0.64;0.0;12.81;0.8;0.0;10.0;0.75;0.0;14.3
2835;10.05.03 Информационная безопасность автоматизированных систем;78.78;1;0.64;0.0;11.03;0.8;0.0;16.12;0.75;0.0;13.33
2836;04.03.01 Химия;5.49;0;0.64;0.0;0.0;0.8;0.0;2.5;0.38;0.0;2.99
2837;10.05.01 Компьютерная безопасность;40.08;0;0.55;0.0;0.0;0.2;0.0;8.92;0.75;0.0;9.16
2838;09.03.03 Прикладная информатика;67.46;1;0.82;0.0;8.46;1.0;0.0;14.0;0.5;0.0;10.0
2839;09.03.03 Прикладная информатика;77.82;1;0.73;0.0;14.49;0.4;0.0;18.33;0.75;0.0;20.0
2840;09.03.03 Прикладная информатика;68.71;1;1.0;0.0;11.93;1.0;0.0;8.44;0.88;0.0;11.84
2841;04.03.01 Химия;2.0;0;0.45;0.0;2.0;0.4;0.0;0.0;0.25;0.0;0.0
2842;38.03.01 Экономика;79.31;1;0.91;0.0;16.38;1.0;0.0;12.9;0.75;0.0;17.83
2843;02.03.03 Математическое обеспечение и администрирование информационных систем;69.99;1;1.0;0.0;12.08;1.0;0.0;15.54;0.62;0.0;14.67
2844;01.03.01 Математика;93.23;1;1.0;0.0;18.0;1.0;0.0;16.83;1.0;0.0;18.4
2845;09.03.02 Информационные системы и технологии;6.28;0;0.82;0.0;0.28;0.6;0.0;0.0;0.75;0.0;1.0
2846;16.03.01 Техническая физика;76.35;1;1.0;0.0;12.05;1.0;0.0;10.83;1.0;0.0;14.67
2847;09.03.03 Прикладная информатика;91.39;1;0.64;0.0;17.23;0.8;0.0;19.0;0.75;0.0;19.16
2848;02.03.03 Математическое обеспечение и администрирование информационных систем;89.93;1;0.82;0.0;15.0;0.8;0.0;15.93;0.75;0.0;19.0
2849;09.03.02 Информационные системы и технологии;77.54;1;1.0;0.0;9.93;1.0;0.0;12.78;0.62;0.0;14.83
2850;15.03.06 Мехатроника и робототехника;7.08;0;1.0;0.0;2.25;1.0;0.0;1.5;0.88;0.0;3.33
2851;10.03.01 Информационная безопасность;26.99;0;1.0;0.0;3.0;1.0;0.0;3.33;0.62;0.0;6.66
2852;10.03.01 Информационная безопасность;40.0;0;0.82;0.0;3.5;0.2;0.0;5.0;0.62;0.0;1.0
2853;01.03.01 Математика;42.94;0;0.36;0.0;13.16;0.6;0.0;6.78;0.5;0.0;0.0
2854;38.03.01 Экономика;55.18;0;0.91;0.0;11.0;0.8;0.0;17.68;0.38;0.0;7.33
