Пол;Не сдал(-а);Посещение до Контрольная работа 1;Баллы до Контрольная работа 1;Процент баллов до Контрольная работа 1;Контрольная работа 1;Посещение до Контрольная работа 2;Баллы до Контрольная работа 2;Процент баллов до Контрольная работа 2;Контрольная работа 2;Посещение до Контрольная работа 3;Баллы до Контрольная работа 3;Процент баллов до Контрольная работа 3;Контрольная работа 3
0.0;0;0.93;0.16;0.52;0.115;1.0;0.02;0.09;0.1105;0.86;0.1;0.43;0.1017
0.0;0;0.93;0.19;0.61;0.08;1.0;0.05;0.22;0.11;1.0;0.11;0.48;0.11
1.0;1;1.0;0.0;0.0;0.01;1.0;0.02;0.09;0.03;1.0;0.0;0.0;0.02
1.0;0;0.71;0.15;0.48;0.09179999999999999;0.75;0.06;0.26;0.10529999999999999;0.71;0.1;0.43;0.157
1.0;0;0.93;0.16;0.52;0.12;1.0;0.06;0.26;0.12;1.0;0.1;0.43;0.13
1.0;0;0.86;0.14;0.45;0.05;0.75;0.11;0.48;0.05;0.71;0.17;0.74;0.06
0.0;0;0.93;0.05;0.16;0.12;0.25;0.02;0.09;0.15;1.0;0.06;0.26;0.13
1.0;0;0.57;0.08;0.26;0.0;0.5;0.0;0.0;0.0868;0.57;0.0;0.0;0.0
1.0;0;0.93;0.145;0.47;0.09119999999999999;1.0;0.06;0.26;0.11199999999999999;0.57;0.06;0.26;0.105
0.0;0;0.71;0.16;0.52;0.0925;0.5;0.03;0.13;0.08960000000000001;0.86;0.04;0.17;0.175
0.0;0;0.79;0.16;0.52;0.09300000000000001;0.75;0.06;0.26;0.1516;0.71;0.08;0.35;0.08130000000000001
0.0;0;1.0;0.21;0.68;0.07139999999999999;1.0;0.06;0.26;0.053399999999999996;1.0;0.12;0.52;0.0501
1.0;1;0.86;0.04;0.13;0.0225;1.0;0.0;0.0;0.0;0.86;0.0;0.0;0.04
1.0;0;1.0;0.2;0.65;0.15;1.0;0.06;0.26;0.14;1.0;0.14;0.61;0.16
1.0;0;0.93;0.155;0.5;0.1551;1.0;0.04;0.17;0.1305;1.0;0.1;0.43;0.14
1.0;0;0.43;0.0;0.0;0.008100000000000001;0.5;0.0;0.0;0.03;0.71;0.03;0.13;0.07
0.0;0;1.0;0.13;0.42;0.09;1.0;0.08;0.35;0.13;1.0;0.13;0.56;0.11
0.0;0;0.64;0.107;0.35;0.083;1.0;0.07400000000000001;0.32;0.077;0.57;0.21899999999999997;0.95;0.11900000000000001
1.0;0;0.93;0.11900000000000001;0.38;0.018500000000000003;1.0;0.037000000000000005;0.16;0.03;1.0;0.05;0.22;0.09
1.0;0;0.64;0.1;0.32;0.1025;0.25;0.0;0.0;0.0555;0.43;0.08;0.35;0.1383
0.0;0;1.0;0.16;0.52;0.07;0.5;0.06;0.26;0.0767;1.0;0.1;0.43;0.07
1.0;1;0.57;0.04;0.13;0.0554;0.5;0.0;0.0;0.0199;0.14;0.0;0.0;0.0
0.0;0;0.5;0.03;0.1;0.03;0.5;0.02;0.09;0.0;0.71;0.02;0.09;0.08
1.0;0;0.71;0.15;0.48;0.1775;0.75;0.06;0.26;0.18600000000000003;0.86;0.01;0.04;0.19
1.0;0;0.93;0.191;0.62;0.163;1.0;0.042;0.18;0.08;0.71;0.15899999999999997;0.69;0.08900000000000001
1.0;0;0.93;0.1545;0.5;0.125;1.0;0.1025;0.45;0.141;0.86;0.12;0.52;0.154
1.0;0;0.79;0.06;0.19;0.13;0.75;0.01;0.04;0.07;0.71;0.06;0.26;0.14
1.0;0;0.79;0.07;0.23;0.04;0.0;0.0;0.0;0.13;0.0;0.0;0.0;0.0
1.0;0;0.5;0.048;0.15;0.0235;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1.0;0;0.86;0.099;0.32;0.08900000000000001;1.0;0.07400000000000001;0.32;0.14;1.0;0.125;0.54;0.155
1.0;0;0.93;0.14;0.45;0.061500000000000006;1.0;0.06;0.26;0.0868;1.0;0.1;0.43;0.1885
1.0;1;0.29;0.0;0.0;0.0;0.5;0.0;0.0;0.01;1.0;0.0;0.0;0.0
1.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14;0.002;0.01;0.0
