Пол;Не сдал(-а);Посещение до Контрольная работа 1;Баллы до Контрольная работа 1;Количество баллов до Контрольная работа 1;Процент баллов до Контрольная работа 1;Контрольная работа 1;Посещение до Контрольная работа 2;Баллы до Контрольная работа 2;Количество баллов до Контрольная работа 2;Процент баллов до Контрольная работа 2;Контрольная работа 2;Посещение до Контрольная работа 3;Баллы до Контрольная работа 3;Количество баллов до Контрольная работа 3;Процент баллов до Контрольная работа 3;Контрольная работа 3
0.0;0;0.93;0.16;8.0;0.52;0.55;1.0;0.06;3.0;0.26;0.655;1.0;0.1;5.0;0.43;0.825
0.0;0;0.86;0.12;7.0;0.39;0.5;1.0;0.07;4.0;0.3;0.4;0.86;0.1;5.0;0.43;0.75
0.0;0;0.43;0.16;8.0;0.52;0.6485000000000001;0.5;0.06;3.0;0.26;0.5865;0.71;0.06;3.0;0.26;0.6935
1.0;1;0.71;0.1;3.0;0.32;0.25;0.75;0.01;1.0;0.04;0.0;0.43;0.0;0.0;0.0;0.1
1.0;0;1.0;0.26;9.0;0.84;0.2;1.0;0.06;3.0;0.26;0.15;0.86;0.19;6.0;0.82;0.5
1.0;1;0.21;0.02;1.0;0.06;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1.0;0;1.0;0.15;8.0;0.48;0.519;1.0;0.06;3.0;0.26;0.5625;0.71;0.128;5.0;0.55;0.55
1.0;1;0.79;0.04;2.0;0.13;0.2645;1.0;0.02;1.0;0.09;0.12;0.29;0.0;0.0;0.0;0.0
1.0;1;0.43;0.0;0.0;0.0;0.3;0.25;0.0;0.0;0.0;0.25;0.43;0.0;0.0;0.0;0.15
0.0;0;0.93;0.16;8.0;0.52;0.5519999999999999;1.0;0.06;3.0;0.26;0.817;1.0;0.1;5.0;0.43;0.885
1.0;0;0.57;0.18;9.0;0.58;0.55;0.75;0.06;3.0;0.26;0.65;0.43;0.02;1.0;0.09;0.65
1.0;1;1.0;0.06;5.0;0.19;0.1;0.75;0.02;2.0;0.09;0.55;1.0;0.02;2.0;0.09;0.4
1.0;1;0.93;0.125;7.0;0.4;0.425;0.5;0.0;0.0;0.0;0.58;0.71;0.0;0.0;0.0;0.25
1.0;1;0.71;0.085;8.0;0.27;0.0;1.0;0.069;4.0;0.3;0.5900000000000001;0.71;0.115;6.0;0.5;0.6599999999999999
1.0;0;0.57;0.11;6.0;0.35;0.25;0.75;0.13449999999999998;1.0;0.58;0.884;0.57;0.06;3.0;0.26;0.9724999999999999
1.0;1;0.86;0.035;2.0;0.11;0.185;1.0;0.0;0.0;0.0;0.25;0.71;0.0;0.0;0.0;0.0
1.0;0;0.93;0.02;2.0;0.06;0.65;0.5;0.03;2.0;0.13;0.6;1.0;0.11;6.0;0.48;0.5
0.0;1;0.64;0.077;6.0;0.25;0.0;0.75;0.048;4.0;0.21;0.0;0.57;0.008;4.0;0.03;0.0
1.0;1;0.29;0.0;0.0;0.0;0.0;0.0;0.03;2.0;0.13;0.05;0.86;0.07;2.0;0.3;0.0
1.0;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0;0.71;0.16;8.0;0.52;0.26749999999999996;0.5;0.06;3.0;0.26;0.45999999999999996;0.43;0.1;5.0;0.43;0.335
0.0;1;0.21;0.068;4.0;0.22;0.505;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0;0.93;0.198;9.0;0.64;0.7849999999999999;1.0;0.055;3.0;0.24;0.475;0.71;0.184;6.0;0.8;0.8150000000000001
0.0;0;0.86;0.14;7.0;0.45;0.3545;1.0;0.06;3.0;0.26;0.6705;1.0;0.1;5.0;0.43;0.725
1.0;1;0.71;0.045;3.0;0.15;0.735;1.0;0.04;2.0;0.17;0.1705;0.57;0.02;1.0;0.09;0.53
1.0;1;1.0;0.067;9.0;0.22;0.08;1.0;0.042;3.0;0.18;0.25;1.0;0.044000000000000004;5.0;0.19;0.28500000000000003
0.0;0;1.0;0.16;8.0;0.52;0.7150000000000001;1.0;0.06;3.0;0.26;0.867;1.0;0.1;5.0;0.43;0.975
